Test Virus,Reference Virus,Titre
A/Wyoming/3/03,A/UK/1861/03,1280
A/UK/1861/03,A/UK/1861/03,640
A/Christchurch/28/03,A/UK/1861/03,320
A/Paris/637/03,A/UK/1861/03,40
A/Samara/30/04,A/UK/1861/03,160
A/Turkey/405/04,A/UK/1861/03,80
A/Denmark/17/03,A/UK/1861/03,320
A/Ireland/10108/03,A/UK/1861/03,320
A/Israel/21/03,A/UK/1861/03,*
A/Morocco/50/04,A/UK/1861/03,*
A/Belgium/G24/04,A/UK/1861/03,640
A/England/420/03,A/UK/1861/03,640
A/Geneva/5361/03,A/UK/1861/03,320
A/Lisbon/17/03,A/UK/1861/03,320
A/Netherlands/327/03,A/UK/1861/03,320
A/Barcelona/37/03,A/UK/1861/03,320
A/Finland/324/03,A/UK/1861/03,640
A/Paris/861/04,A/UK/1861/03,*
A/Khaborovsk/34/03,A/UK/1861/03,640
A/Prague/316/03,A/UK/1861/03,640
A/Bucharest/194/03,A/UK/1861/03,320
A/Lyon/2209/03,A/UK/1861/03,640
A/Oslo/487/03,A/UK/1861/03,320
A/Sachsen/366/03,A/UK/1861/03,640
A/Algeria/303/03,A/UK/1861/03,160
A/Belgrade/7103/03,A/UK/1861/03,320
A/Stockholm/1/04,A/UK/1861/03,320
A/Slovenia/1410/03,A/UK/1861/03,320
A/Austria/134419/03,A/UK/1861/03,320
A/Madrid/G1418/03,A/UK/1861/03,640
A/Wellington/1/20,A/UK/1861/03,*
A/Latvia/1297/04,A/UK/1861/03,160
A/Trieste/19/04,A/UK/1861/03,320
A/Iceland/6/04,A/UK/1861/03,*
A/Madagascar/71824/04,A/UK/1861/03,*
A/Morocco/467/04,A/UK/1861/03,*
A/Parma/61/04,A/UK/1861/03,320
A/Slovakia/608/03,A/UK/1861/03,*
A/Shantou/575/04,A/UK/1861/03,*
A/Dakar/15/04,A/UK/1861/03,*
A/Johannesburg/21/04,A/UK/1861/03,*
A/Panama/2007/99,A/Christchurch/28/03,160
A/Egypt/130/02,A/Christchurch/28/03,160
A/Fujian/411/02,A/Christchurch/28/03,1280
A/Wyoming/3/03,A/Christchurch/28/03,5120
A/UK/1861/03,A/Christchurch/28/03,320
A/Christchurch/28/03,A/Christchurch/28/03,1280
A/Paris/637/03,A/Christchurch/28/03,*
A/Samara/30/04,A/Christchurch/28/03,320
A/Turkey/405/04,A/Christchurch/28/03,160
A/Denmark/17/03,A/Christchurch/28/03,*
A/Ireland/10108/03,A/Christchurch/28/03,*
A/Israel/21/03,A/Christchurch/28/03,1280
A/Morocco/50/04,A/Christchurch/28/03,1280
A/Belgium/G24/04,A/Christchurch/28/03,*
A/England/420/03,A/Christchurch/28/03,*
A/Geneva/5361/03,A/Christchurch/28/03,*
A/Lisbon/17/03,A/Christchurch/28/03,*
A/Netherlands/327/03,A/Christchurch/28/03,*
A/Barcelona/37/03,A/Christchurch/28/03,*
A/Finland/324/03,A/Christchurch/28/03,*
A/Paris/861/04,A/Christchurch/28/03,2560
A/Khaborovsk/34/03,A/Christchurch/28/03,1280
A/Prague/316/03,A/Christchurch/28/03,2560
A/Bucharest/194/03,A/Christchurch/28/03,1280
A/Lyon/2209/03,A/Christchurch/28/03,1280
A/Oslo/487/03,A/Christchurch/28/03,1280
A/Sachsen/366/03,A/Christchurch/28/03,5120
A/Algeria/303/03,A/Christchurch/28/03,*
A/Belgrade/7103/03,A/Christchurch/28/03,*
A/Stockholm/1/04,A/Christchurch/28/03,1280
A/Slovenia/1410/03,A/Christchurch/28/03,*
A/Austria/134419/03,A/Christchurch/28/03,640
A/Madrid/G1418/03,A/Christchurch/28/03,*
A/Wellington/1/20,A/Christchurch/28/03,2560
A/Latvia/1297/04,A/Christchurch/28/03,640
A/Trieste/19/04,A/Christchurch/28/03,1280
A/Iceland/6/04,A/Christchurch/28/03,1280
A/Madagascar/71824/04,A/Christchurch/28/03,640
A/Morocco/467/04,A/Christchurch/28/03,1280
A/Parma/61/04,A/Christchurch/28/03,1280
A/Slovakia/608/03,A/Christchurch/28/03,1280
A/Shantou/575/04,A/Christchurch/28/03,2560
A/Dakar/15/04,A/Christchurch/28/03,1280
A/Johannesburg/21/04,A/Christchurch/28/03,1280
