Test Virus,Reference Virus,Titre
A/Latvia/1-34/2009,A/Trieste/25c/2007,80
A/Bremen/1/2009,A/Trieste/25c/2007,160
A/Slovenia/51/2009,A/Trieste/25c/2007,80
A/Slovenia/55/2009,A/Trieste/25c/2007,80
A/Parma/22/09,A/Trieste/25c/2007,40
A/Parma/17/09,A/Trieste/25c/2007,80
A/Lisboa/04/2009,A/Trieste/25c/2007,40
A/Cluj/34/2009,A/Trieste/25c/2007,40
A/Barcelona/321/2009,A/Trieste/25c/2007,40
A/Barcelona/328/2009,A/Trieste/25c/2007,40
A/Algeria/G208/2009,A/Trieste/25c/2007,40
A/Bucuresti/1816/2008,A/Trieste/25c/2007,40
A/Lasi/22/2009,A/Trieste/25c/2007,80
A/Cluj/35/2009,A/Trieste/25c/2007,80
A/Bucuresti/54/2009,A/Trieste/25c/2007,40
A/Israel/9/09,A/Trieste/25c/2007,320
A/Israel/13/09,A/Trieste/25c/2007,<40
A/Barcelona/329/2009,A/Trieste/25c/2007,<40
A/Barcelona/V359A/2009,A/Trieste/25c/2007,40
A/Algeria/G216/2009,A/Trieste/25c/2007,80
A/Algeria/G217/2009,A/Trieste/25c/2007,40
A/Firenze/14/08,A/Trieste/25c/2007,80
A/Bratislava/148/2009,A/Trieste/25c/2007,160
A/Bratislava/151/2009,A/Trieste/25c/2007,160
A/Belgium/G318/2009,A/Trieste/25c/2007,40
A/Belgium/G344/2009,A/Trieste/25c/2007,80
A/Wisconsin/67/2005,A/Wisconsin/67/2005,1280
A/Trieste/25c/2007,A/Wisconsin/67/2005,160
A/Wisconsin/3/2007,A/Wisconsin/67/2005,5120
A/Brisbane/10/2007,A/Wisconsin/67/2005,640
A/Uruguay/716/2007,A/Wisconsin/67/2005,640
A/Johannesburg/15/2008,A/Wisconsin/67/2005,160
A/England/394/2008,A/Wisconsin/67/2005,320
A/Brisbane/24/2008,A/Wisconsin/67/2005,2560
A/Madagascar/3226/2008,A/Wisconsin/67/2005,80
A/Netherlands/379/2008,A/Wisconsin/67/2005,80
A/Norway/2118/2008,A/Wisconsin/67/2005,80
A/Thuringen/76/2008,A/Wisconsin/67/2005,80
A/Luxembourg/1325/2008,A/Wisconsin/67/2005,320
A/England/561/2008,A/Wisconsin/67/2005,80
A/England/572/2008,A/Wisconsin/67/2005,80
A/Finland/286/2008,A/Wisconsin/67/2005,160
A/England/85060527/2008,A/Wisconsin/67/2005,160
A/Paris/130/2008,A/Wisconsin/67/2005,160
A/Denmark/191/2008,A/Wisconsin/67/2005,160
A/Toulouse/1317/08,A/Wisconsin/67/2005,160
A/Egypt/59/2008,A/Wisconsin/67/2005,80
A/Hong Kong/3197/2008,A/Wisconsin/67/2005,160
A/Sweden/6/08,A/Wisconsin/67/2005,160
A/Norway/2308/2008,A/Wisconsin/67/2005,320
A/England/669/2008,A/Wisconsin/67/2005,320
A/Norway/1/2009,A/Wisconsin/67/2005,1280
A/Kanagawa/65/2008,A/Wisconsin/67/2005,160
A/Taiwan/471/2008,A/Wisconsin/67/2005,320
A/Stockholm/26/2008,A/Wisconsin/67/2005,640
A/Norway/2264/2008,A/Wisconsin/67/2005,80
A/Baden-Württemburg/199/2008,A/Wisconsin/67/2005,80
A/Bayern/47/2008,A/Wisconsin/67/2005,80
A/Niedersachsen/107/2008,A/Wisconsin/67/2005,160
A/Sweden/9/2008,A/Wisconsin/67/2005,640
A/Baden-Württemburg/196/2008,A/Wisconsin/67/2005,160
A/Niedersachsen/110/2008,A/Wisconsin/67/2005,640
A/Berlin/62/2008,A/Wisconsin/67/2005,80
A/Firenze/24/08,A/Wisconsin/67/2005,160
A/Firenze/26/08,A/Wisconsin/67/2005,160
A/Switzerland/1397477/2008,A/Wisconsin/67/2005,160
A/Switzerland/1397481/2008,A/Wisconsin/67/2005,80
A/Parma/20/09,A/Wisconsin/67/2005,160
A/Latvia/1-34/2009,A/Wisconsin/67/2005,160
A/Bremen/1/2009,A/Wisconsin/67/2005,160
A/Slovenia/51/2009,A/Wisconsin/67/2005,160
A/Slovenia/55/2009,A/Wisconsin/67/2005,80
A/Parma/22/09,A/Wisconsin/67/2005,160
A/Parma/17/09,A/Wisconsin/67/2005,160
A/Lisboa/04/2009,A/Wisconsin/67/2005,40
A/Cluj/34/2009,A/Wisconsin/67/2005,80
A/Barcelona/321/2009,A/Wisconsin/67/2005,160
A/Barcelona/328/2009,A/Wisconsin/67/2005,160
A/Algeria/G208/2009,A/Wisconsin/67/2005,80
A/Bucuresti/1816/2008,A/Wisconsin/67/2005,80
A/Lasi/22/2009,A/Wisconsin/67/2005,160
A/Cluj/35/2009,A/Wisconsin/67/2005,160
A/Bucuresti/54/2009,A/Wisconsin/67/2005,80
A/Israel/9/09,A/Wisconsin/67/2005,320
A/Israel/13/09,A/Wisconsin/67/2005,80
A/Barcelona/329/2009,A/Wisconsin/67/2005,80
A/Barcelona/V359A/2009,A/Wisconsin/67/2005,80
A/Algeria/G216/2009,A/Wisconsin/67/2005,160
A/Algeria/G217/2009,A/Wisconsin/67/2005,80
A/Firenze/14/08,A/Wisconsin/67/2005,80
A/Bratislava/148/2009,A/Wisconsin/67/2005,160
A/Bratislava/151/2009,A/Wisconsin/67/2005,320
A/Belgium/G318/2009,A/Wisconsin/67/2005,80
A/Belgium/G344/2009,A/Wisconsin/67/2005,80
A/Wisconsin/67/2005,A/Brisbane/10/2007,5120
A/Trieste/25c/2007,A/Brisbane/10/2007,320
A/Wisconsin/3/2007,A/Brisbane/10/2007,5120
A/Brisbane/10/2007,A/Brisbane/10/2007,5120
A/Uruguay/716/2007,A/Brisbane/10/2007,2560
A/Johannesburg/15/2008,A/Brisbane/10/2007,320
A/England/394/2008,A/Brisbane/10/2007,640
A/Brisbane/24/2008,A/Brisbane/10/2007,5120
A/Madagascar/3226/2008,A/Brisbane/10/2007,40
A/Netherlands/379/2008,A/Brisbane/10/2007,40
A/Norway/2118/2008,A/Brisbane/10/2007,80
A/Thuringen/76/2008,A/Brisbane/10/2007,40
A/Luxembourg/1325/2008,A/Brisbane/10/2007,160
A/England/561/2008,A/Brisbane/10/2007,40
A/England/572/2008,A/Brisbane/10/2007,40
A/Finland/286/2008,A/Brisbane/10/2007,80
A/England/85060527/2008,A/Brisbane/10/2007,40
A/Paris/130/2008,A/Brisbane/10/2007,320
A/Denmark/191/2008,A/Brisbane/10/2007,160
A/Toulouse/1317/08,A/Brisbane/10/2007,160
A/Egypt/59/2008,A/Brisbane/10/2007,80
A/Hong Kong/3197/2008,A/Brisbane/10/2007,640
A/Sweden/6/08,A/Brisbane/10/2007,320
A/Norway/2308/2008,A/Brisbane/10/2007,320
A/England/669/2008,A/Brisbane/10/2007,1280
A/Norway/1/2009,A/Brisbane/10/2007,2560
A/Kanagawa/65/2008,A/Brisbane/10/2007,160
A/Taiwan/471/2008,A/Brisbane/10/2007,640
A/Stockholm/26/2008,A/Brisbane/10/2007,1280
A/Norway/2264/2008,A/Brisbane/10/2007,160
A/Baden-Württemburg/199/2008,A/Brisbane/10/2007,160
A/Bayern/47/2008,A/Brisbane/10/2007,160
A/Niedersachsen/107/2008,A/Brisbane/10/2007,320
A/Sweden/9/2008,A/Brisbane/10/2007,640
A/Baden-Württemburg/196/2008,A/Brisbane/10/2007,320
A/Niedersachsen/110/2008,A/Brisbane/10/2007,640
A/Berlin/62/2008,A/Brisbane/10/2007,160
A/Firenze/24/08,A/Brisbane/10/2007,160
A/Firenze/26/08,A/Brisbane/10/2007,320
A/Switzerland/1397477/2008,A/Brisbane/10/2007,160
A/Switzerland/1397481/2008,A/Brisbane/10/2007,160
A/Parma/20/09,A/Brisbane/10/2007,320
A/Latvia/1-34/2009,A/Brisbane/10/2007,160
A/Bremen/1/2009,A/Brisbane/10/2007,320
A/Slovenia/51/2009,A/Brisbane/10/2007,320
A/Slovenia/55/2009,A/Brisbane/10/2007,160
A/Parma/22/09,A/Brisbane/10/2007,160
A/Parma/17/09,A/Brisbane/10/2007,160
A/Lisboa/04/2009,A/Brisbane/10/2007,80
A/Cluj/34/2009,A/Brisbane/10/2007,160
A/Barcelona/321/2009,A/Brisbane/10/2007,160
A/Barcelona/328/2009,A/Brisbane/10/2007,160
A/Algeria/G208/2009,A/Brisbane/10/2007,80
A/Bucuresti/1816/2008,A/Brisbane/10/2007,80
A/Lasi/22/2009,A/Brisbane/10/2007,160
A/Cluj/35/2009,A/Brisbane/10/2007,160
A/Bucuresti/54/2009,A/Brisbane/10/2007,160
A/Israel/9/09,A/Brisbane/10/2007,640
A/Israel/13/09,A/Brisbane/10/2007,160
A/Barcelona/329/2009,A/Brisbane/10/2007,160
A/Barcelona/V359A/2009,A/Brisbane/10/2007,80
A/Algeria/G216/2009,A/Brisbane/10/2007,160
A/Algeria/G217/2009,A/Brisbane/10/2007,80
A/Firenze/14/08,A/Brisbane/10/2007,160
A/Bratislava/148/2009,A/Brisbane/10/2007,320
A/Bratislava/151/2009,A/Brisbane/10/2007,320
A/Belgium/G318/2009,A/Brisbane/10/2007,160
A/Belgium/G344/2009,A/Brisbane/10/2007,160
A/Wisconsin/67/2005,A/Uruguay/716/2007,5120
A/Trieste/25c/2007,A/Uruguay/716/2007,640
A/Wisconsin/3/2007,A/Uruguay/716/2007,5120
A/Brisbane/10/2007,A/Uruguay/716/2007,5120
A/Uruguay/716/2007,A/Uruguay/716/2007,5120
A/Johannesburg/15/2008,A/Uruguay/716/2007,320
A/England/394/2008,A/Uruguay/716/2007,320
A/Brisbane/24/2008,A/Uruguay/716/2007,5120
A/Madagascar/3226/2008,A/Uruguay/716/2007,80
A/Netherlands/379/2008,A/Uruguay/716/2007,40
A/Norway/2118/2008,A/Uruguay/716/2007,160
A/Thuringen/76/2008,A/Uruguay/716/2007,80
A/Luxembourg/1325/2008,A/Uruguay/716/2007,1280
A/England/561/2008,A/Uruguay/716/2007,40
A/England/572/2008,A/Uruguay/716/2007,40
A/Finland/286/2008,A/Uruguay/716/2007,320
A/England/85060527/2008,A/Uruguay/716/2007,40
A/Paris/130/2008,A/Uruguay/716/2007,320
A/Denmark/191/2008,A/Uruguay/716/2007,160
A/Toulouse/1317/08,A/Uruguay/716/2007,160
A/Egypt/59/2008,A/Uruguay/716/2007,160
A/Hong Kong/3197/2008,A/Uruguay/716/2007,320
A/Sweden/6/08,A/Uruguay/716/2007,320
A/Norway/2308/2008,A/Uruguay/716/2007,320
A/England/669/2008,A/Uruguay/716/2007,2560
A/Norway/1/2009,A/Uruguay/716/2007,5120
A/Kanagawa/65/2008,A/Uruguay/716/2007,160
A/Taiwan/471/2008,A/Uruguay/716/2007,640
A/Stockholm/26/2008,A/Uruguay/716/2007,1280
A/Norway/2264/2008,A/Uruguay/716/2007,80
A/Baden-Württemburg/199/2008,A/Uruguay/716/2007,160
A/Bayern/47/2008,A/Uruguay/716/2007,160
A/Niedersachsen/107/2008,A/Uruguay/716/2007,160
A/Sweden/9/2008,A/Uruguay/716/2007,2560
A/Baden-Württemburg/196/2008,A/Uruguay/716/2007,320
A/Niedersachsen/110/2008,A/Uruguay/716/2007,640
A/Berlin/62/2008,A/Uruguay/716/2007,80
A/Firenze/24/08,A/Uruguay/716/2007,160
A/Firenze/26/08,A/Uruguay/716/2007,160
A/Switzerland/1397477/2008,A/Uruguay/716/2007,160
A/Switzerland/1397481/2008,A/Uruguay/716/2007,40
A/Parma/20/09,A/Uruguay/716/2007,160
A/Latvia/1-34/2009,A/Uruguay/716/2007,80
A/Bremen/1/2009,A/Uruguay/716/2007,320
A/Slovenia/51/2009,A/Uruguay/716/2007,160
A/Slovenia/55/2009,A/Uruguay/716/2007,80
A/Parma/22/09,A/Uruguay/716/2007,80
A/Parma/17/09,A/Uruguay/716/2007,160
A/Lisboa/04/2009,A/Uruguay/716/2007,80
A/Cluj/34/2009,A/Uruguay/716/2007,80
A/Barcelona/321/2009,A/Uruguay/716/2007,80
A/Barcelona/328/2009,A/Uruguay/716/2007,80
A/Algeria/G208/2009,A/Uruguay/716/2007,160
A/Bucuresti/1816/2008,A/Uruguay/716/2007,80
A/Lasi/22/2009,A/Uruguay/716/2007,80
A/Cluj/35/2009,A/Uruguay/716/2007,80
A/Bucuresti/54/2009,A/Uruguay/716/2007,80
A/Israel/9/09,A/Uruguay/716/2007,320
A/Israel/13/09,A/Uruguay/716/2007,80
A/Barcelona/329/2009,A/Uruguay/716/2007,40
A/Barcelona/V359A/2009,A/Uruguay/716/2007,80
A/Algeria/G216/2009,A/Uruguay/716/2007,80
A/Algeria/G217/2009,A/Uruguay/716/2007,80
A/Firenze/14/08,A/Uruguay/716/2007,160
A/Bratislava/148/2009,A/Uruguay/716/2007,320
A/Bratislava/151/2009,A/Uruguay/716/2007,320
A/Belgium/G318/2009,A/Uruguay/716/2007,80
A/Belgium/G344/2009,A/Uruguay/716/2007,80
A/Wisconsin/67/2005,A/Johannesburg/15/2008,2560
A/Trieste/25c/2007,A/Johannesburg/15/2008,80
A/Wisconsin/3/2007,A/Johannesburg/15/2008,2560
A/Brisbane/10/2007,A/Johannesburg/15/2008,2560
A/Uruguay/716/2007,A/Johannesburg/15/2008,1280
A/Johannesburg/15/2008,A/Johannesburg/15/2008,160
A/England/394/2008,A/Johannesburg/15/2008,320
A/Brisbane/24/2008,A/Johannesburg/15/2008,5120
A/Madagascar/3226/2008,A/Johannesburg/15/2008,40
A/Netherlands/379/2008,A/Johannesburg/15/2008,<40
A/Norway/2118/2008,A/Johannesburg/15/2008,*
A/Thuringen/76/2008,A/Johannesburg/15/2008,*
A/Luxembourg/1325/2008,A/Johannesburg/15/2008,160
A/England/561/2008,A/Johannesburg/15/2008,40
A/England/572/2008,A/Johannesburg/15/2008,<40
A/Finland/286/2008,A/Johannesburg/15/2008,40
A/England/85060527/2008,A/Johannesburg/15/2008,40
A/Paris/130/2008,A/Johannesburg/15/2008,320
A/Denmark/191/2008,A/Johannesburg/15/2008,160
A/Toulouse/1317/08,A/Johannesburg/15/2008,80
A/Egypt/59/2008,A/Johannesburg/15/2008,80
A/Hong Kong/3197/2008,A/Johannesburg/15/2008,160
A/Sweden/6/08,A/Johannesburg/15/2008,160
A/Norway/2308/2008,A/Johannesburg/15/2008,160
A/England/669/2008,A/Johannesburg/15/2008,640
A/Norway/1/2009,A/Johannesburg/15/2008,1280
A/Kanagawa/65/2008,A/Johannesburg/15/2008,80
A/Taiwan/471/2008,A/Johannesburg/15/2008,320
A/Stockholm/26/2008,A/Johannesburg/15/2008,640
A/Norway/2264/2008,A/Johannesburg/15/2008,40
A/Baden-Württemburg/199/2008,A/Johannesburg/15/2008,80
A/Bayern/47/2008,A/Johannesburg/15/2008,80
A/Niedersachsen/107/2008,A/Johannesburg/15/2008,80
A/Sweden/9/2008,A/Johannesburg/15/2008,640
A/Baden-Württemburg/196/2008,A/Johannesburg/15/2008,160
A/Niedersachsen/110/2008,A/Johannesburg/15/2008,640
A/Berlin/62/2008,A/Johannesburg/15/2008,80
A/Firenze/24/08,A/Johannesburg/15/2008,80
A/Firenze/26/08,A/Johannesburg/15/2008,160
A/Switzerland/1397477/2008,A/Johannesburg/15/2008,80
A/Switzerland/1397481/2008,A/Johannesburg/15/2008,40
A/Parma/20/09,A/Johannesburg/15/2008,160
A/Latvia/1-34/2009,A/Johannesburg/15/2008,80
A/Bremen/1/2009,A/Johannesburg/15/2008,160
A/Slovenia/51/2009,A/Johannesburg/15/2008,80
A/Slovenia/55/2009,A/Johannesburg/15/2008,80
A/Parma/22/09,A/Johannesburg/15/2008,80
A/Parma/17/09,A/Johannesburg/15/2008,160
A/Lisboa/04/2009,A/Johannesburg/15/2008,40
A/Cluj/34/2009,A/Johannesburg/15/2008,40
A/Barcelona/321/2009,A/Johannesburg/15/2008,80
A/Barcelona/328/2009,A/Johannesburg/15/2008,80
A/Algeria/G208/2009,A/Johannesburg/15/2008,80
A/Bucuresti/1816/2008,A/Johannesburg/15/2008,40
A/Lasi/22/2009,A/Johannesburg/15/2008,80
A/Cluj/35/2009,A/Johannesburg/15/2008,80
A/Bucuresti/54/2009,A/Johannesburg/15/2008,80
A/Israel/9/09,A/Johannesburg/15/2008,320
A/Israel/13/09,A/Johannesburg/15/2008,40
A/Barcelona/329/2009,A/Johannesburg/15/2008,80
A/Barcelona/V359A/2009,A/Johannesburg/15/2008,80
A/Algeria/G216/2009,A/Johannesburg/15/2008,80
A/Algeria/G217/2009,A/Johannesburg/15/2008,40
A/Firenze/14/08,A/Johannesburg/15/2008,80
A/Bratislava/148/2009,A/Johannesburg/15/2008,80
A/Bratislava/151/2009,A/Johannesburg/15/2008,160
A/Belgium/G318/2009,A/Johannesburg/15/2008,40
A/Belgium/G344/2009,A/Johannesburg/15/2008,80
A/Wisconsin/67/2005,A/England/394/2008,320
A/Trieste/25c/2007,A/England/394/2008,160
A/Wisconsin/3/2007,A/England/394/2008,1280
A/Brisbane/10/2007,A/England/394/2008,320
A/Uruguay/716/2007,A/England/394/2008,320
A/Johannesburg/15/2008,A/England/394/2008,160
A/England/394/2008,A/England/394/2008,640
A/Brisbane/24/2008,A/England/394/2008,640
A/Madagascar/3226/2008,A/England/394/2008,80
A/Netherlands/379/2008,A/England/394/2008,40
A/Norway/2118/2008,A/England/394/2008,80
A/Thuringen/76/2008,A/England/394/2008,80
A/Luxembourg/1325/2008,A/England/394/2008,160
A/England/561/2008,A/England/394/2008,40
A/England/572/2008,A/England/394/2008,40
A/Finland/286/2008,A/England/394/2008,80
A/England/85060527/2008,A/England/394/2008,80
A/Paris/130/2008,A/England/394/2008,160
A/Denmark/191/2008,A/England/394/2008,80
A/Toulouse/1317/08,A/England/394/2008,80
A/Egypt/59/2008,A/England/394/2008,40
A/Hong Kong/3197/2008,A/England/394/2008,320
A/Sweden/6/08,A/England/394/2008,160
A/Norway/2308/2008,A/England/394/2008,160
A/England/669/2008,A/England/394/2008,640
A/Norway/1/2009,A/England/394/2008,1280
A/Kanagawa/65/2008,A/England/394/2008,160
A/Taiwan/471/2008,A/England/394/2008,160
A/Stockholm/26/2008,A/England/394/2008,320
A/Norway/2264/2008,A/England/394/2008,80
A/Baden-Württemburg/199/2008,A/England/394/2008,80
A/Bayern/47/2008,A/England/394/2008,80
A/Niedersachsen/107/2008,A/England/394/2008,80
A/Sweden/9/2008,A/England/394/2008,160
A/Baden-Württemburg/196/2008,A/England/394/2008,160
A/Niedersachsen/110/2008,A/England/394/2008,160
A/Berlin/62/2008,A/England/394/2008,80
A/Firenze/24/08,A/England/394/2008,160
A/Firenze/26/08,A/England/394/2008,160
A/Switzerland/1397477/2008,A/England/394/2008,160
A/Switzerland/1397481/2008,A/England/394/2008,80
A/Parma/20/09,A/England/394/2008,160
A/Latvia/1-34/2009,A/England/394/2008,80
A/Bremen/1/2009,A/England/394/2008,160
A/Slovenia/51/2009,A/England/394/2008,160
A/Slovenia/55/2009,A/England/394/2008,80
A/Parma/22/09,A/England/394/2008,160
A/Parma/17/09,A/England/394/2008,160
A/Lisboa/04/2009,A/England/394/2008,40
A/Cluj/34/2009,A/England/394/2008,80
A/Barcelona/321/2009,A/England/394/2008,80
A/Barcelona/328/2009,A/England/394/2008,80
A/Algeria/G208/2009,A/England/394/2008,80
A/Bucuresti/1816/2008,A/England/394/2008,80
A/Lasi/22/2009,A/England/394/2008,160
A/Cluj/35/2009,A/England/394/2008,160
A/Bucuresti/54/2009,A/England/394/2008,80
A/Israel/9/09,A/England/394/2008,320
A/Israel/13/09,A/England/394/2008,80
A/Barcelona/329/2009,A/England/394/2008,160
A/Barcelona/V359A/2009,A/England/394/2008,80
A/Algeria/G216/2009,A/England/394/2008,160
A/Algeria/G217/2009,A/England/394/2008,80
A/Firenze/14/08,A/England/394/2008,80
A/Bratislava/148/2009,A/England/394/2008,160
A/Bratislava/151/2009,A/England/394/2008,160
A/Belgium/G318/2009,A/England/394/2008,40
A/Belgium/G344/2009,A/England/394/2008,80
A/Wisconsin/67/2005,A/Brisbane/10/2007,5120
A/Trieste/25c/2007,A/Brisbane/10/2007,160
A/Wisconsin/3/2007,A/Brisbane/10/2007,5120
A/Brisbane/10/2007,A/Brisbane/10/2007,5120
A/Uruguay/716/2007,A/Brisbane/10/2007,2560
A/Johannesburg/15/2008,A/Brisbane/10/2007,160
A/England/394/2008,A/Brisbane/10/2007,320
A/Brisbane/24/2008,A/Brisbane/10/2007,5120
A/Madagascar/3226/2008,A/Brisbane/10/2007,*
A/Netherlands/379/2008,A/Brisbane/10/2007,*
A/Norway/2118/2008,A/Brisbane/10/2007,*
A/Thuringen/76/2008,A/Brisbane/10/2007,*
A/Luxembourg/1325/2008,A/Brisbane/10/2007,*
A/England/561/2008,A/Brisbane/10/2007,*
A/England/572/2008,A/Brisbane/10/2007,*
A/Finland/286/2008,A/Brisbane/10/2007,*
A/England/85060527/2008,A/Brisbane/10/2007,*
A/Paris/130/2008,A/Brisbane/10/2007,160
A/Denmark/191/2008,A/Brisbane/10/2007,160
A/Toulouse/1317/08,A/Brisbane/10/2007,80
A/Egypt/59/2008,A/Brisbane/10/2007,80
A/Hong Kong/3197/2008,A/Brisbane/10/2007,160
A/Sweden/6/08,A/Brisbane/10/2007,160
A/Norway/2308/2008,A/Brisbane/10/2007,160
A/England/669/2008,A/Brisbane/10/2007,320
A/Norway/1/2009,A/Brisbane/10/2007,640
A/Kanagawa/65/2008,A/Brisbane/10/2007,80
A/Taiwan/471/2008,A/Brisbane/10/2007,1280
A/Stockholm/26/2008,A/Brisbane/10/2007,640
